rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
489,Nathaniel Chalobah,England,MF,Watford,Premier League,24,1994,22,930,0,1,1,0,0,0.5,0.5,4,35,0.00,0.10,30,11,44.4,4,6,18,20,0,0,0,0,0,0,0,0,261,370,70.5,1172,78.5,82.1,40.9,9,23,4,24,9,55.6,44.4,4,9,1,10,0,9,0.0,0.00,0.00,0,57.6,1.74,0.10,0,2019-2020
490,Calum Chambers,England,DF,Arsenal,Premier League,24,1995,14,1102,1,1,2,1,0,0.8,0.8,16,45,0.08,0.08,26,10,68.8,7,6,16,43,1,0,0,0,0,0,0,0,732,915,80.0,4397,88.8,85.7,59.8,7,46,6,116,17,64.7,35.3,16,10,0,10,1,12,16.7,0.16,0.08,0.50,54.5,1.39,0.16,0,2019-2020
491,Jhon Chancellor,Venezuela,DF,Brescia,Serie A,27,1992,26,2244,3,0,3,3,0,2.4,2.4,1,30,0.12,0.00,30,14,50.0,29,5,34,145,3,0,0,0,0,0,0,0,751,878,85.5,5117,88.4,90.7,75.9,0,7,1,259,6,83.3,16.7,1,2,0,4,3,13,23.1,0.12,0.23,1.00,59.8,0.32,0.00,0,2019-2020
492,Timothy Chandler,United States,DF,Eint Frankfurt,Bundesliga,29,1990,22,1220,5,1,6,5,0,2.0,2.0,25,46,0.37,0.07,22,10,56.3,4,5,13,21,0,0,0,0,0,0,0,0,281,468,60.0,2214,75.1,61.0,46.6,12,18,19,34,9,66.7,33.3,25,18,2,4,5,20,40.0,0.59,0.25,0.63,55.1,2.00,0.15,0,2019-2020
493,Kwon Chang-hoon,South Korea,MF,Freiburg,Bundesliga,25,1994,23,676,2,0,2,2,0,2.1,2.1,14,29,0.27,0.00,7,4,10.0,1,4,7,14,0,0,0,0,0,0,0,0,192,272,70.6,787,79.2,73.5,64.7,12,14,10,11,21,71.4,28.6,14,16,8,6,2,15,40.0,0.80,0.13,0.33,43.9,3.06,0.53,0,2019-2020
494,Gaëtan Charbonnier,France,FW,Brest,Ligue 1,30,1988,26,2065,4,5,9,4,0,7.1,5.5,24,100,0.17,0.22,36,16,28.6,6,13,7,33,1,0,0,0,0,0,0,0,637,838,76.0,2552,84.9,78.8,56.6,31,62,21,39,45,51.1,48.9,24,28,12,36,4,49,28.6,0.61,0.08,0.29,33.1,3.01,0.35,0,2019-2020
495,Brendan Chardonnet,France,DF,Brest,Ligue 1,24,1994,12,823,0,0,0,0,0,0.3,0.3,8,42,0.00,0.00,12,6,58.3,5,3,15,50,0,0,0,0,0,0,0,0,483,553,87.3,3627,94.4,92.3,74.6,2,38,2,88,2,100.0,0.0,8,4,0,0,0,4,0.0,0.00,0.00,0,63.3,0.77,0.00,0,2019-2020
496,Charles,Brazil,FW,Eibar,La Liga,35,1984,30,1301,6,0,6,5,1,4.6,3.0,7,20,0.42,0.00,10,5,18.2,2,5,7,6,0,0,0,0,0,0,0,0,233,347,67.1,431,74.3,64.2,77.8,11,11,5,5,6,16.7,83.3,7,5,2,11,6,23,39.1,0.62,0.22,0.56,43.8,1.94,0.14,0,2019-2020
497,Xavier Chavalerin,France,MF,Reims,Ligue 1,28,1991,24,2147,1,3,4,1,0,0.9,0.9,17,112,0.04,0.13,71,52,38.8,8,15,36,36,0,0,0,0,0,0,0,0,841,1108,75.9,5411,89.1,80.5,52.9,42,87,25,52,22,59.1,40.9,17,17,5,10,1,21,14.3,0.13,0.05,0.33,37.9,2.98,0.21,0,2019-2020
498,Pablo Chavarría,Argentina,FW,Mallorca,La Liga,31,1988,13,209,0,0,0,0,0,0.8,0.8,6,3,0.00,0.00,1,1,0.0,1,0,1,2,0,0,0,0,0,0,0,0,35,62,56.5,73,64.7,44.4,33.3,2,1,1,3,2,50.0,50.0,6,4,2,3,0,5,0.0,0.00,0.00,0,67.9,2.57,0.00,0,2019-2020
