Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
256,Daniele Baselli,it ITA,MF,Como,it Serie A,32.0,1992.0,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24.0,1999.0,35,34,3074,34.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,39,116,15,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03
258,Aboubacar Bassinga,ci CIV,MF,Las Palmas,es La Liga,19.0,2005.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,25.0,1999.0,33,31,2401,26.7,1,5,6,1,0,0,6,1,0.8,0.8,2.3,3.2,62,162,83,0.04,0.19,0.22,0.04,0.22,0.03,0.09,0.12,0.03,0.12
260,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28.0,1996.0,32,32,2880,32.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Michy Batshuayi,be BEL,FW,Eint Frankfurt,de Bundesliga,30.0,1993.0,10,3,300,3.3,3,0,3,3,0,0,2,0,1.2,1.2,0.0,1.3,3,8,15,0.9,0.0,0.9,0.9,0.9,0.36,0.01,0.38,0.36,0.38
262,Dylan Batubinsika,cd COD,DF,Saint-Étienne,fr Ligue 1,28.0,1996.0,25,22,2016,22.4,1,0,1,1,0,0,3,1,0.8,0.8,0.2,1.0,11,51,1,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.04,0.04,0.04
263,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,24.0,2000.0,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
264,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34.0,1990.0,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
265,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,24.0,1999.0,31,18,1610,17.9,2,1,3,2,0,0,5,0,4.5,4.5,1.3,5.8,37,53,95,0.11,0.06,0.17,0.11,0.17,0.25,0.07,0.33,0.25,0.33
266,Rafael Bauza,es ESP,MF,Espanyol,es La Liga,19.0,2005.0,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
267,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26.0,1998.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Ihlas Bebou,tg TOG,MF,Hoffenheim,de Bundesliga,30.0,1994.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,27.0,1997.0,32,18,1598,17.8,4,1,5,4,0,0,1,0,3.3,3.3,1.2,4.5,37,69,83,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25
270,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,29.0,1995.0,22,11,995,11.1,2,1,3,2,0,0,1,1,2.0,2.0,2.0,4.0,51,23,110,0.18,0.09,0.27,0.18,0.27,0.18,0.18,0.36,0.18,0.36
271,Timo Becker,de GER,DF,Holstein Kiel,de Bundesliga,27.0,1997.0,30,28,2445,27.2,0,2,2,0,0,0,2,0,1.4,1.4,0.8,2.2,28,57,38,0.0,0.07,0.07,0.0,0.07,0.05,0.03,0.08,0.05,0.08
272,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,28.0,1996.0,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04
273,Donny van de Beek,nl NED,MF,Girona,es La Liga,27.0,1997.0,26,16,1421,15.8,2,2,4,2,0,0,5,0,1.5,1.5,3.2,4.7,17,45,85,0.13,0.13,0.25,0.13,0.25,0.1,0.21,0.3,0.09,0.3
274,Hannes Behrens,de GER,DF,Hoffenheim,de Bundesliga,,,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
