player_name,club_name,tackles_won,interceptions
"Marin Pongračić","Dortmund",11,17
"Stefan Posch","Hoffenheim",28,27
"Yussuf Poulsen","RB Leipzig",7,3
"Manuel Prietl","Arminia",30,40
"Grischa Prömel","Union Berlin",23,21
"Nick Proschwitz","Hoffenheim",0,0
"Afimico Pululu","Greuther Fürth",0,0
"Sidney Raebiger","RB Leipzig",0,0
"Diant Ramaj","Eintracht Frankfurt",0,0
"Guilherme Ramos","Arminia",15,29
"Tobias Raschl","Greuther Fürth",9,1
"David Raum","Hoffenheim",31,25
"Reinier","Dortmund",3,0
"Panagiotis Retsos","Leverkusen",0,1
"Marco Reus","Dortmund",28,10
"Elvis Rexhbeçaj","Bochum",20,28
"Gio Reyna","Dortmund",5,0
"Chris Richards","Hoffenheim",14,21
"Chris Richards","Bayern Munich",0,0
"Omar Richards","Bayern Munich",12,4
"Marco Richter","Hertha BSC",15,17
"Manuel Riemann","Bochum",1,1
"Marc Roca","Bayern Munich",7,6
"Cimo Röcker","Hertha BSC",0,1
"Sebastian Rode","Eintracht Frankfurt",9,12
"Romario Rösch","Mainz 05",0,0
"Tom Rothe","Dortmund",3,2
"Jérôme Roussillon","Wolfsburg",9,14
"Sebastian Rudy","Hoffenheim",13,11
"Georginio Rutter","Hoffenheim",11,5
"Julian Ryerson","Union Berlin",16,14
"Frederik Rønnow","Union Berlin",0,0
"Marcel Sabitzer","RB Leipzig",1,2
"Marcel Sabitzer","Bayern Munich",8,10
"Roland Sallai","Freiburg",16,9
"Diadie Samassékou","Hoffenheim",30,28
"Leroy Sané","Bayern Munich",16,10
"Mohamed Sankoh","Stuttgart",0,0
"Baptiste Santamaria","Freiburg",0,1
"Bouna Sarr","Bayern Munich",4,6
"Joe Scally","Gladbach",31,22
"Kevin Schade","Freiburg",7,5
"András Schäfer","Union Berlin",1,2
"Louis Schaub","Köln",9,3
"Patrik Schick","Leverkusen",3,3
"Kingsley Schindler","Köln",0,6
"Xaver Schlager","Wolfsburg",22,9
"Keven Schlotterbeck","Freiburg",5,12
"Nico Schlotterbeck","Freiburg",44,55
"Jonathan Schmid","Freiburg",6,6
"Benno Schmitz","Köln",38,41
"Alessandro Schöpf","Arminia",22,32
"Nico Schulz","Dortmund",9,10
"Marvin Schwäbe","Köln",1,0
"Alexander Schwolow","Hertha BSC",0,2
"Paul Seguin","Greuther Fürth",29,20
"Davie Selke","Hertha BSC",4,1
"Lion Semić","Dortmund",0,0
"Suat Serdar","Hertha BSC",27,17
"Janni Serra","Arminia",3,5
"Zidan Sertdemir","Leverkusen",2,0
"Nils Seufert","Greuther Fürth",1,0
"Kiliann Sildillia","Freiburg",3,2
"André Silva","RB Leipzig",9,4
"Mohamed Simakan","RB Leipzig",28,40
"Daley Sinkgraven","Leverkusen",2,3
"Tobias Sippel","Gladbach",0,0
"Hugo Siquet","Freiburg",0,0
"Ellyes Skhiri","Köln",33,39
"Robert Skov","Hoffenheim",2,3
"Danilo Soares","Bochum",72,66
"Yann Sommer","Gladbach",0,3
"Borna Sosa","Stuttgart",12,26
"Djibril Sow","Eintracht Frankfurt",36,51
"Jerry St. Juste","Mainz 05",10,14
"Anton Stach","Mainz 05",16,51
"Kostas Stafylidis","Bochum",28,29
"Josip Stanišić","Bayern Munich",10,12
"Niklas Stark","Hertha BSC",18,39
"Renato Steffen","Wolfsburg",16,13
"Pascal Stenzel","Stuttgart",12,10
"Angelo Stiller","Hoffenheim",19,10
"Lars Stindl","Gladbach",15,9
"Kevin Stöger","Mainz 05",6,6
"Tobias Strobl","Augsburg",2,8
"Niklas Süle","Bayern Munich",24,29
"Ádám Szalai","Mainz 05",2,0
"Dominik Szoboszlai","RB Leipzig",12,9
"Jonathan Tah","Leverkusen",19,42
"Edmond Tapsoba","Leverkusen",19,29
"Niklas Tauer","Mainz 05",10,9
"Robert Tesche","Bochum",4,6
"Cedric Teuchert","Union Berlin",2,0
"Jan Thielmann","Köln",16,12
