player_name,club_name,tackles_won,interceptions
"Jonathan Ikone","Lille",3,3
"Bonke Innocent","Lorient",18,16
"Wilson Isidor","Monaco",0,0
"Ismail Jakobs","Monaco",17,14
"Marin Jakoliš","Angers",1,1
"Abdel Jalil Medioub","Bordeaux",5,15
"Léo Jardim","Lille",0,1
"Corentin Jean","Lens",6,1
"Jemerson","Metz",24,23
"Moritz Jenz","Lorient",12,28
"Lenny Joseph","Metz",2,0
"Issa Kaboré","Troyes",24,21
"Tino Kadewere","Lyon",5,4
"Gaël Kakuta","Lens",13,3
"Arnaud Kalimuendo","Lens",7,8
"Arnaud Kalimuendo","Paris Saint-Germain",0,0
"Samuel Kalu","Bordeaux",5,3
"Boubacar Kamara","Marseille",39,43
"Hassane Kamara","Nice",10,9
"Jean-Armel Kana-Biyik","Metz",6,15
"Nordine Kandil","Strasbourg",1,1
"Eiji Kawashima","Strasbourg",0,0
"Ilan Kebbal","Reims",14,13
"Thilo Kehrer","Paris Saint-Germain",15,22
"Habib Keita","Lyon",0,0
"Saîf-Eddine Khaoui","Clermont Foot",11,13
"Wahbi Khazri","Saint-Étienne",18,10
"Presnel Kimpembe","Paris Saint-Germain",20,39
"Thibault Klidje","Bordeaux",0,2
"Justin Kluivert","Nice",8,13
"Samuel Koeberlé","Reims",0,0
"Philippe Koffi","Reims",0,3
"Sead Kolašinac","Marseille",5,0
"Randal Kolo Muani","Nantes",16,6
"Timothée Kolodziejczak","Saint-Étienne",26,55
"Ghislain Konan","Reims",21,25
"Ibrahima Koné","Lorient",4,1
"Youssouf Koné","Troyes",18,9
"Laurent Koscielny","Bordeaux",8,11
"Rominigue Kouamé","Troyes",25,45
"Boubakar Kouyaté","Metz",48,80
"Jean-Philippe Krasso","Saint-Étienne",5,0
"Mykola Kukharevych","Troyes",0,0
"Enock Kwateng","Bordeaux",36,43
"Grejohn Kyei","Clermont Foot",2,0
"Gaëtan Laborde","Rennes",7,7
"Gaëtan Laborde","Montpellier",2,4
"Tom Lacoux","Bordeaux",14,10
"Lenny Lacroix","Metz",8,10
"Alban Lafont","Nantes",3,1
"Mohamed Lamine Bayo","Clermont Foot",5,6
"Didier Lamkel Zé","Metz",2,1
"Julien Laporte","Lorient",44,51
"Yasser Larouci","Troyes",5,7
"Paul Lasne","Brest",14,22
"Armand Lauriente","Lorient",18,12
"Théo Le Bris","Lorient",1,0
"Jérémy Le Douaron","Brest",7,4
"Enzo Le Fée","Lorient",45,29
"Vincent Le Goff","Lorient",41,36
"Maxime Le Marchand","Strasbourg",10,12
"Jean-Louis Leca","Lens",0,1
"Félix Lemaréchal","Monaco",0,0
"Mario Lemina","Nice",34,43
"Fabien Lemoine","Lorient",22,14
"Léo Leroy","Montpellier",24,7
"Alexandre Letellier","Paris Saint-Germain",0,0
"Yanis Lhery","Saint-Étienne",0,0
"Dimitri Liénard","Strasbourg",45,23
"Isaac Lihadji","Lille",3,2
"Pol Lirola","Marseille",16,12
"Bradley Locko","Reims",18,14
"Anthony Lopes","Lyon",0,4
"Pau López","Marseille",0,1
"Dion Lopy","Reims",29,24
"Samuel Loric","Lorient",5,4
"Jordan Lotomba","Nice",18,11
"Johaneko Louisjean","Bordeaux",0,0
"Jean Lucas","Monaco",25,14
"Castello Lukeba","Lyon",18,38
"Levi Lumeka","Troyes",0,0
"Deiver Machado","Lens",14,4
"Yvann Macon","Saint-Étienne",26,16
"Louis Mafouta","Metz",0,0
"Hugo Magnetti","Brest",33,24
"Yohann Magnin","Clermont Foot",33,20
"Habib Maïga","Metz",29,13
"Josh Maja","Bordeaux",0,0
"Abdul Majeed Waris","Strasbourg",2,0
"Lovro Majer","Rennes",22,11
"Béni Makouana","Montpellier",2,3
"Vincent Manceau","Angers",18,33
"Steve Mandanda","Marseille",0,1
"Reinildo Mandava","Lille",24,36
"Anthony Mandrea","Angers",0,0
"Eliaquim Mangala","Saint-Étienne",9,15
"Thomas Mangani","Angers",35,37
"Ricardo Mangas","Bordeaux",22,25
"Myziane Maolida","Nice",0,0
"Sekou Mara","Bordeaux",4,2
"Marcelo","Bordeaux",5,11
"Marcelo","Lyon",3,4
"Guillermo Maripán","Monaco",24,24
"Marquinhos","Paris Saint-Germain",15,13
"Jonas Martin","Rennes",21,19
"Gelson Martins","Monaco",28,17
"Pape Matar Sarr","Metz",28,29
"Eliot Matazo","Monaco",8,12
"Chrislain Matsima","Monaco",2,1
"Azor Matusiwa","Reims",31,60
"Stephy Mavididi","Montpellier",13,7
"Derek Mazou-Sacko","Troyes",0,0
"Kylian Mbappé","Paris Saint-Germain",10,4
"Yannis Mbemba","Nantes",0,0
"Amadou Mbengue","Metz",10,11
"Hianga'a Mbock","Brest",12,5
"Jason Mbock","Angers",0,0
"Moustapha Mbow","Reims",5,1
"Nathanael Mbuku","Reims",10,8
"Facundo Medina","Lens",43,35
"Farid El Melali","Angers",0,0
"Birger Meling","Rennes",29,20
"Houboulang Mendes","Lorient",29,39
"Nuno Mendes","Paris Saint-Germain",30,19
"Pedro Mendes","Montpellier",1,0
"Thiago Mendes","Lyon",22,32
"Arial Mendy","Clermont Foot",3,7
"Batista Mendy","Angers",31,34
"Gideon Mensah","Bordeaux",24,13
"Quentin Merlin","Nantes",29,25
"Lionel Messi","Paris Saint-Germain",3,4
"Mexer","Bordeaux",9,19
"Edouard Michut","Paris Saint-Germain",0,1
"Georges Mikautadze","Metz",0,0
"William Mikelbrencis","Metz",5,5
"Arkadiusz Milik","Marseille",2,3
"Terem Moffi","Lorient",10,3
"Florent Mollet","Montpellier",22,19
"Thomas Monconduit","Lorient",25,23
"Jérémy Morel","Lorient",8,6
"Lebo Mothiba","Strasbourg",0,0
"Lebo Mothiba","Troyes",3,2
"Baptiste Mouazan","Lorient",3,1
"Aimen Moueffek","Saint-Étienne",4,2
"Harold Moukoudi","Saint-Étienne",13,40
"Jessy Moulin","Troyes",0,1
"Steve Mounié","Brest",6,6
"Samuel Moutoussamy","Nantes",26,18
"Marshall Munetsi","Reims",19,37
"Junior Mwanga","Bordeaux",2,0
"Kévin N'Doram","Metz",8,19
"Eric N'Jo","Troyes",0,2
"Vital N'Simba","Clermont Foot",46,27
"Mickael Nade","Saint-Étienne",36,58
"Guédé Nadje","Angers",0,0
"Paul Nardi","Lorient",0,0
"Keylor Navas","Paris Saint-Germain",0,0
"Papa Ndiaga Yade","Metz",10,10
"Tanguy Ndombele","Lyon",16,3
"Dan Ndoye","Nice",0,0
"Neymar","Paris Saint-Germain",20,3
"Yvan Neyou","Saint-Étienne",15,26
"Opa Nguette","Metz",15,0
"Sikou Niakaté","Metz",7,28
"Ibrahima Niane","Metz",2,2
"M'Baye Niang","Bordeaux",0,1
"Cheikh Niasse","Lille",2,0
"Casimir Ninga","Angers",1,1
"Arnaud Nordin","Saint-Étienne",14,6
"Alexander Nübel","Monaco",0,0
"Gerzino Nyamsi","Strasbourg",23,23
"Florent Ogier","Clermont Foot",17,33
"Warmed Omari","Rennes",21,31
"Jonas Omlin","Montpellier",1,0
"Amadou Onana","Lille",30,26
"Jean Onana","Bordeaux",52,35
"Otávio","Bordeaux",22,16
"Dango Ouattara","Lorient",15,12
"Remi Oudin","Bordeaux",19,25
"Alexandre Oukidja","Metz",0,1
"Azzedine Ounahi","Angers",18,23
"Ambroise Oyongo","Montpellier",5,7
"Vincent Pajot","Metz",54,48
"Nicolas Pallois","Nantes",33,51
"Erik Palmer-Brown","Troyes",22,33
"Emerson Palmieri","Lyon",26,27
"Lucas Paquetá","Lyon",40,9
"Rubén Pardo","Bordeaux",0,0
"Leandro Paredes","Paris Saint-Germain",12,8
"Strahinja Pavlović","Monaco",15,8
"Dimitri Payet","Marseille",6,8
"Timothee Pembele","Bordeaux",8,15
"Brayann Pereira","Lens",1,0
"Danilo Pereira","Paris Saint-Germain",18,34
"Mathias Pereira Lage","Angers",9,21
"Luan Peres Petroni","Marseille",35,43
"Lucas Perrin","Strasbourg",30,42
"Danijel Petković","Angers",0,1
"Léo Pétrot","Lorient",17,22
"Romain Philippoteaux","Brest",1,0
"Jérôme Phojo","Clermont Foot",1,0
"Jérémy Pied","Lille",0,1
"Ronaël Pierre-Gabriel","Brest",45,47
"Julian Pollersbeck","Lyon",0,1
"Gaëtan Poussin","Bordeaux",1,0
"Sanjin Prcić","Strasbourg",28,49
"Nicolas de Préville","Metz",10,6
"Nemanja Radonjić","Marseille",0,0
"Rafinha","Paris Saint-Germain",10,4
"Predrag Rajković","Reims",3,1
"Adil Rami","Troyes",10,16
"Sergio Ramos","Paris Saint-Germain",5,8
"Elba Rashani","Clermont Foot",23,11
"Jeff Reine-Adélaïde","Lyon",3,0
"Tiago Ribeiro","Monaco",0,0
"Sergio Rico","Paris Saint-Germain",0,0
"Renaud Ripart","Troyes",21,16
"Mihailo Ristić","Montpellier",32,16
"Maxence Rivera","Saint-Étienne",0,0
"Patrick Roberts","Troyes",0,0
"Stian Rode Gregersen","Bordeaux",26,35
"Gerson Rodrigues","Troyes",9,0
"Valentin Rongier","Marseille",48,31
"Pablo Rosario","Nice",38,36
"Roli Pereira de Sa","Nantes",4,6
"Mathys Saban","Saint-Étienne",2,0
"Falaye Sacko","Saint-Étienne",10,3
"Moïse Sahi Dion","Strasbourg",0,1
"Rafiki Said","Brest",2,0
"Wesley Saïd","Lens",4,2
"Mamadou Sakho","Montpellier",24,37
"Bakary Sako","Saint-Étienne",0,0
"William Saliba","Marseille",29,43
"Romain Salin","Rennes",0,0
"Yoann Salmier","Troyes",36,41
"Mama Samba Baldé","Troyes",26,4
"Junior Sambia","Montpellier",13,20
"Renato Sanches","Lille",7,13
"Philippe Sandler","Troyes",0,3
"Baptiste Santamaria","Rennes",26,30
"Pablo Sarabia","Paris Saint-Germain",0,0
"Martin Satriano","Brest",2,2
"Téji Savanier","Montpellier",27,29
"Morgan Schneiderlin","Nice",12,19
"Alidu Seidu","Clermont Foot",20,32
"Matz Sels","Strasbourg",1,1
"Xherdan Shaqiri","Lyon",2,2
"Mahame Siby","Strasbourg",0,0
"Aboubakar Sidibé","Clermont Foot",0,0
"Djibril Sidibé","Monaco",12,20
"Kaj Sierhuis","Reims",1,0
"Caio Henrique Oliveira Silva","Monaco",28,26
"Gabriel Silva","Saint-Étienne",7,17
"Moses Simon","Nantes",11,11
"Xavi Simons","Paris Saint-Germain",1,0
"Issouf Sissokho","Bordeaux",9,6
"Ibrahima Sissoko","Strasbourg",24,33
"Nelson Sissoko","Saint-Étienne",0,0
"Sambou Sissoko","Reims",6,2
"Islam Slimani","Lyon",3,2
"Florian Sotoca","Lens",19,26
"Sambou Soumano","Lorient",0,1
