player_name,club_name,tackles_won,interceptions
"Dani Raba","Villarreal",0,1
"Uroš Račić","Valencia",18,14
"Nemanja Radoja","Levante",8,23
"Rafinha","Real Sociedad",27,13
"Antonio Raillo","Mallorca",7,19
"Ivan Rakitić","Sevilla",20,20
"Jonás Ramalho","Osasuna",2,4
"Sandro Ramírez","Getafe",3,3
"Raúl","Real Betis",0,0
"Lluís Recasens","Espanyol",0,2
"Manolo Reina","Mallorca",0,2
"Karim Rekik","Sevilla",8,8
"Álex Remiro","Real Sociedad",0,1
"Nico Ribaudo","Espanyol",7,8
"Diego Rico","Real Sociedad",22,30
"Sergio Rico","Mallorca",0,0
"Luis Rioja","Alavés",17,25
"Rober","Levante",20,32
"Sergi Roberto","Barcelona",2,3
"Rubén Rochina","Granada",14,6
"Enzo Roco","Elche",20,28
"Rodri","Real Betis",7,2
"Kévin Rodrigues","Rayo Vallecano",12,6
"Ángel Rodríguez","Mallorca",9,3
"Óscar Rodríguez Arnaiz","Getafe",11,11
"Óscar Rodríguez Arnaiz","Sevilla",3,5
"Dani Rodríguez","Mallorca",30,19
"Guido Rodríguez","Real Betis",52,29
"Rodrygo","Real Madrid",14,11
"Leo Román","Mallorca",0,0
"Iván Romero","Sevilla",2,2
"Unai Ropero","Alavés",0,0
"Rubén","Espanyol",1,2
"Aitor Ruibal","Real Betis",15,7
"Isma Ruiz","Granada",1,3
"Víctor Ruiz","Real Betis",9,29
"Gerónimo Rulli","Villarreal",0,1
"Franco Russo","Mallorca",10,28
"Mathew Ryan","Real Sociedad",0,0
"Youssouf Sabaly","Real Betis",10,13
"Salvi","Cádiz",10,6
"Fede San Emeterio","Cádiz",5,10
"Oihan Sancet","Athletic Club",6,5
"Antonio Sánchez","Mallorca",26,29
"Germán Sánchez","Granada",18,28
"Juanlu Sánchez","Sevilla",0,0
"Manu Sánchez","Osasuna",36,17
"Oier Sanjurjo","Osasuna",6,2
"Yellu Santiago","Valencia",2,0
"Sergio Santos","Real Madrid",0,0
"Alvaro Sanz","Barcelona",0,0
"Marcelo Saracchi","Levante",5,4
"Joan Sastre Vanrell","Mallorca",3,2
"Esteban Saveljich","Rayo Vallecano",11,19
"Stefan Savić","Atlético Madrid",21,36
"Valentino Scotta","Sevilla",0,0
"Aleksandar Sedlar","Mallorca",3,6
"Javier Serrano","Atlético Madrid",1,3
"Nicolás Serrano","Athletic Club",5,2
"Salva Sevilla","Mallorca",12,15
"David Silva","Real Sociedad",17,6
"Jonathan Silva","Getafe",8,2
"Rui Silva","Real Betis",0,1
"Giuliano Simeone","Atlético Madrid",0,0
"Unai Simón","Athletic Club",0,1
"Antonio Sivera","Alavés",0,0
"Rubén Sobrino","Valencia",1,2
"Rubén Sobrino","Cádiz",17,21
"Alex Sola","Real Sociedad",1,2
"Augusto Solari","Celta Vigo",12,6
"Roberto Soldado","Levante",1,1
"Carlos Soler","Valencia",20,12
"Son","Levante",17,19
"David Soria","Getafe",1,0
"Alberto Soro","Granada",11,3
"Hugo Sotelo","Celta Vigo",0,0
"Damián Suárez","Getafe",48,32
"Denis Suárez","Celta Vigo",28,16
"Luis Suárez","Atlético Madrid",5,1
"Mario Suárez","Rayo Vallecano",5,7
"Suso","Sevilla",3,0
"Mamadou Sylla","Alavés",2,1
"Mamadou Sylla","Rayo Vallecano",1,3
"Alexander Sørloth","Real Sociedad",9,3
"Tachi","Alavés",3,0
"Renato Tapia","Celta Vigo",33,30
"Cristian Tello","Real Betis",11,8
"Nahuel Tenaglia","Alavés",27,26
"Marc Tenas","Alavés",1,0
"Marc-André ter Stegen","Barcelona",0,2
"David Timor","Getafe",2,1
"Mircea Ţîrlea","Alavés",0,0
"Raúl de Tomás","Espanyol",11,6
"Raúl Torrente","Granada",22,11
"Ferrán Torres","Barcelona",5,4
"Óliver Torres","Sevilla",12,6
"Pau Torres","Villarreal",19,19
"Roberto Torres","Osasuna",4,8
"Lucas Torró","Osasuna",44,50
"Adama Traoré","Barcelona",2,3
"Óscar Trejo","Rayo Vallecano",24,13
"Manu Trigueros","Villarreal",26,15
"Kieran Trippier","Atlético Madrid",12,11
"Beñat Turrientes","Real Sociedad",0,2
"Samuel Umtiti","Barcelona",2,0
"Enes Ünal","Getafe",22,5
"Myrto Uzuni","Granada",5,10
"Álvaro Vadillo","Espanyol",2,0
"Óscar Valentín","Rayo Vallecano",53,42
"Germán Valera","Real Sociedad",2,0
"Martin Valjent","Mallorca",20,32
"Jesús Vallejo","Real Madrid",5,6
"Manu Vallejo","Valencia",1,0
"Manu Vallejo","Alavés",1,0
"Federico Valverde","Real Madrid",17,22
"José Luis García Vayá","Levante",27,37
"Jesus Vazquez","Valencia",12,9
"Kevin Vázquez","Celta Vigo",25,39
"Lucas Vázquez","Real Madrid",27,19
"Gabriel Veiga","Celta Vigo",4,4
"Unai Vencedor Paris","Athletic Club",12,18
"Gonzalo Verdú","Elche",9,14
"Mikel Vesga","Athletic Club",16,19
"Rúben Vezo","Levante",31,35
"Aleix Vidal","Espanyol",25,26
"Nacho Vidal","Osasuna",48,60
"Dídac Vilà","Espanyol",5,3
"Tonny Vilhena","Espanyol",6,8
"Daniel Villahermosa","Espanyol",0,0
"Asier Villalibre","Athletic Club",3,1
"Gonzalo Villar","Getafe",3,1
"Vitolo","Getafe",2,1
"Daniel Vivian","Athletic Club",23,25
"Šime Vrsaljko","Atlético Madrid",19,12
"Nikola Vukčević","Levante",2,2
"Daniel Wass","Atlético Madrid",0,0
"Daniel Wass","Valencia",15,13
"Iñaki Williams","Athletic Club",5,3
"Nico Williams","Athletic Club",10,6
"Okay Yokuşlu","Getafe",8,5
"Okay Yokuşlu","Celta Vigo",1,2
"Joseba Zaldúa","Real Sociedad",22,13
"Oier Zarraga","Athletic Club",4,18
"Luca Zidane","Rayo Vallecano",0,0
"Igor Zubeldia","Real Sociedad",11,27
"Martín Zubimendi","Real Sociedad",25,51
