league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
FRA-Ligue 1,2324,Lens,David Pereira Da Costa,5,2023,210,8759,F M S,25,1508,4,3.3974218741059303,4,3.3974218741059303,2,2.882254445925355,30,26,3,0,8.578894898295403,4.864923959597945
FRA-Ligue 1,2324,Lens,Deiver Machado,5,2023,210,9632,D S,19,1136,4,1.784729102626443,4,1.784729102626443,0,1.255944062024355,16,13,4,0,4.551569402217865,2.4844816084951162
FRA-Ligue 1,2324,Lens,Facundo Medina,5,2023,210,8664,D S,31,2714,1,1.0300949662923813,1,1.0300949662923813,3,2.1363372802734375,21,26,11,0,12.228698570281267,10.283871470019221
FRA-Ligue 1,2324,Lens,Faitout Maouassa,5,2023,210,5635,D S,3,76,0,0.3686111718416214,0,0.3686111718416214,0,0.12599346041679382,3,2,0,0,0.530580461025238,0.1185019463300705
FRA-Ligue 1,2324,Lens,Florian Sotoca,5,2023,210,3348,D F M S,32,2615,7,8.699992233887315,3,5.659611718729138,6,7.505253344774246,68,50,4,1,21.025430120527744,11.286432217806578
FRA-Ligue 1,2324,Lens,Jean-Louis Leca,5,2023,210,3318,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0406685471534729,0.0406685471534729
FRA-Ligue 1,2324,Lens,Jhoanner Chávez,5,2023,210,12343,D M S,8,486,0,0.5122348442673683,0,0.5122348442673683,0,0.9299897663295269,3,4,1,0,3.5853820741176605,2.242269203066826
FRA-Ligue 1,2324,Lens,Jonathan Gradit,5,2023,210,7206,D,26,2141,1,0.22225267626345158,1,0.22225267626345158,0,0.1320574041455984,4,5,9,1,7.429127996787429,7.327028876170516
FRA-Ligue 1,2324,Lens,Kevin Danso,5,2023,210,5261,D,30,2657,1,2.2954298378899693,1,2.2954298378899693,0,0.30831503588706255,21,8,6,0,11.925815293565392,11.646889187395573
FRA-Ligue 1,2324,Lens,Massadio Haidara,5,2023,210,943,D S,18,719,0,0.15779872238636017,0,0.15779872238636017,1,0.24414417147636414,3,1,1,0,1.47297989949584,1.0710370242595673
FRA-Ligue 1,2324,Lens,Morgan Guilavogui,5,2023,210,11762,F S,23,493,2,2.304705310612917,2,2.304705310612917,0,1.8569900281727314,21,14,1,0,6.790731526911259,2.9029957614839077
FRA-Ligue 1,2324,Lens,Nampalys Mendy,5,2023,210,1785,M S,16,1066,0,0.160887960344553,0,0.160887960344553,1,1.630225621163845,7,8,2,0,6.371999038383365,5.2536304127424955
FRA-Ligue 1,2324,Lens,Neil El Aynaoui,5,2023,210,12104,M S,25,1569,1,2.5668053859844804,1,2.5668053859844804,2,1.0836108047515154,22,16,1,0,6.940165674313903,4.416760019958019
FRA-Ligue 1,2324,Lens,Przemyslaw Frankowski,5,2023,210,9633,D M S,30,2199,3,4.1157539039850235,2,2.5955636128783226,2,4.827693289145827,31,39,4,0,12.676617067307234,8.174650894477963
FRA-Ligue 1,2324,Lens,Ruben Aguilar,5,2023,210,6006,D M S,25,1934,1,1.777808541432023,1,1.777808541432023,3,3.1522562243044376,12,26,4,0,10.541019223630428,6.293500451371074
FRA-Ligue 1,2324,Lens,Salis Abdul Samed,5,2023,210,9642,M S,27,1510,0,0.8402506019920111,0,0.8402506019920111,0,0.6497425884008408,5,6,2,0,8.304884536191821,6.872539086267352
FRA-Ligue 1,2324,Lens,Sepe Elye Wahi,5,2023,210,9182,F S,28,1723,9,14.083894703537226,8,13.323799524456263,3,3.1773214172571898,60,17,8,1,18.523378144949675,2.332134653814137
FRA-Ligue 1,2324,Lens,Stijn Spierings,5,2023,210,10791,M S,26,1611,0,0.32107141613960266,0,0.32107141613960266,1,0.7943557417020202,11,14,7,0,6.608952850103378,6.1175940297544
FRA-Ligue 1,2324,Lens,Wesley Said,5,2023,210,3799,F S,27,1004,7,6.774058876559138,7,6.774058876559138,1,1.0907432921230793,45,13,1,0,7.255487274378538,0.8935680435970426
FRA-Ligue 1,2324,Lens,Óscar Cortés,5,2023,210,11765,S,4,30,1,0.4433479309082031,1,0.4433479309082031,1,0.6105575561523438,1,1,0,0,1.0539054870605469,0.0
FRA-Ligue 1,2324,Lille,Aaron Malouda,5,2023,160,11759,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lille,Adam Ounas,5,2023,160,3259,M S,17,388,1,0.6189610250294209,1,0.6189610250294209,0,2.255139661952853,9,13,0,0,3.244394898414612,1.57051520049572
FRA-Ligue 1,2324,Lille,Alexsandro Ribeiro,5,2023,160,10810,D S,29,2207,0,2.4435949474573135,0,2.4435949474573135,0,1.0118668656796217,17,5,6,1,7.510616027750075,7.3452057326212525
FRA-Ligue 1,2324,Lille,Andrej Ilic,5,2023,160,12421,S,2,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.02604314684867859,0.02604314684867859
